date,region,source,metric_type,value,day_of_week,is_weekend,month,year,week_of_year,day_of_year,lag_1,lag_7,lag_14,rolling_7_mean,rolling_7_std,rolling_30_mean,rolling_30_std,pct_change_1,zscore_30,city,isolation_flag,is_zscore_anomaly,is_anomaly
2020-05-27,Ile-de-France,idfm_station_daily,validations,1417138.0,2,0,5,2020,22,148,1397021.0,1229345.0,1002397.0,1024720.4285714285,367548.5144642354,654735.7333333333,450015.62115778675,0.014399926701173404,1.6941684484311477,Paris,-1,False,True
2024-09-17,Ile-de-France,idfm_station_daily,validations,737397.0,1,0,9,2024,38,261,752634.0,767240.0,815270.0,749261.8571428572,18992.885190969184,809644.2,42953.36106550125,-0.020244899911510794,-1.681991774516257,Paris,-1,False,True
2015-01-11,Ile-de-France,idfm_station_daily,validations,44823.0,6,1,1,2015,2,11,2892323.0,1596997.0,,4085488.285714286,1971056.008927593,3289150.090909091,1940588.0103520404,-0.9845027681901365,-1.671826824448194,Paris,-1,False,True
2024-08-17,Ile-de-France,idfm_station_daily,validations,792488.0,5,1,8,2024,33,230,848212.0,862098.0,891723.0,828448.0,19349.89813254004,855367.7666666667,37637.203843910414,-0.0656958401908957,-1.670681141124156,Paris,-1,False,True
2023-01-19,Ile-de-France,idfm_station_daily,validations,1623296.0,3,0,1,2023,3,19,6310482.0,6302649.0,5923312.0,4737747.0,1937719.553551897,4344323.466666667,1637701.6590360773,-0.742761963349234,-1.661491549241158,Paris,-1,False,True
2020-11-07,Ile-de-France,idfm_station_daily,validations,938094.0,5,1,11,2020,45,312,2424508.0,882510.0,2410170.0,1907900.0,832244.9893146058,3073225.2,1287639.5334023878,-0.6130786122380294,-1.6581746246624218,Paris,-1,False,True
2018-04-02,Ile-de-France,idfm_station_daily,validations,2052412.0,0,0,4,2018,14,92,1858895.0,5931999.0,5849528.0,4503902.571428572,2075939.3810962518,4929775.7,1739228.2375547658,0.10410324413159433,-1.6543910901799606,Paris,-1,False,True
2024-07-06,Ile-de-France,idfm_station_daily,validations,792101.0,5,1,7,2024,27,188,770248.0,4230372.0,4078678.0,1108196.7142857143,892998.4823195369,4475954.5,2230083.7004518197,0.028371381684859864,-1.6518902403769165,Paris,-1,False,True
2020-03-21,Ile-de-France,idfm_station_daily,validations,193821.0,5,1,3,2020,12,81,347788.0,2397351.0,3318147.0,737287.2857142857,643867.7102895259,3923788.2666666666,2272612.7296065236,-0.4427036010443144,-1.6412683155710683,Paris,-1,False,True
2020-04-19,Ile-de-France,idfm_station_daily,validations,82763.0,6,1,4,2020,16,110,131665.0,79094.0,76178.0,172468.42857142858,62701.543073849985,189879.53333333333,65513.6285982068,-0.37141229635818174,-1.6350267207801288,Paris,-1,False,True
2022-11-10,Ile-de-France,idfm_station_daily,validations,2548092.0,3,0,11,2022,45,314,6292843.0,5391417.0,5751183.0,4640822.142857143,1738305.8593131693,4882514.5,1432363.0817075067,-0.595080951487269,-1.6297700840049276,Paris,-1,False,True
2016-12-17,Ile-de-France,idfm_station_daily,validations,62685.0,5,1,12,2016,50,352,191483.0,3414346.0,3449275.0,3809128.285714286,2877200.242459198,4002328.1333333333,2423490.284526003,-0.6726341241781255,-1.6256071495264386,Paris,-1,False,True
2016-03-28,Ile-de-France,idfm_station_daily,validations,1949967.0,0,0,3,2016,13,88,1855198.0,5652031.0,5645149.0,4274997.142857143,1929498.6672648503,4506237.1,1576330.6102502362,0.05108295718300693,-1.6216586059914182,Paris,-1,False,True
2019-04-22,Ile-de-France,idfm_station_daily,validations,2379409.0,0,0,4,2019,17,112,2105207.0,6223700.0,6137260.0,4800755.142857143,2127568.5720867277,5193701.5,1745681.5620043164,0.13024942440339604,-1.6121453999713158,Paris,-1,False,True
2024-09-19,Ile-de-France,idfm_station_daily,validations,727339.0,3,0,9,2024,38,263,729376.0,745544.0,785606.0,744236.5714285715,21761.393973882525,802000.6666666666,46431.71764101046,-0.0027927982275259833,-1.607988471241096,Paris,-1,False,True
2020-06-15,Ile-de-France,idfm_station_daily,validations,2439948.0,0,0,6,2020,25,167,1008371.0,2134743.0,982701.0,2073707.142857143,529455.2205790599,1463872.5,607892.7182549239,1.419692751973232,1.6056706564967869,Paris,-1,False,True
2020-04-26,Ile-de-France,idfm_station_daily,validations,86024.0,6,1,4,2020,17,117,138108.0,82763.0,79094.0,197051.14285714287,60123.28875485527,179066.76666666666,58262.69103688411,-0.37712514843455847,-1.5969527842056674,Paris,-1,False,True
2020-05-28,Ile-de-France,idfm_station_daily,validations,1433129.0,3,0,5,2020,22,149,1417138.0,677738.0,1034047.0,1132633.4285714286,359498.65771775757,694376.6666666666,464716.32099250954,0.011284010449229331,1.5896845020539763,Paris,-1,False,True
